"schluessel","straftat","gemeindeschluessel","stadt_landkreis","kreisart","anzahl_erfasste_faelle","haeufigkeitszahl","erfasste_faelle_davon_versuche_anzahl","erfasste_faelle_davon_versuche_anteil_in_percent","mit_schusswaffe_gedroht","mit_schusswaffe_geschossen","auffklaerung_anzahl_faelle","aufklaerungsquote","tatverdaechtige_insgesamt","tatverdaechtige_maennlich","tatverdaechtige_weiblich","nichtdeutsche_tatverdaechtige_anzahl","nichtdeutsche_tatverdaechtige_anteil_in_percent_an_der_gesamtzahl","x19","x20","x21","x22","x23","gemeinden_n","pop_20_sum","pop20_MEDIAN","bs20_MEAN","lupp20_MEAN","mean_FLAT_size_2022","livespace_MEAN_grid_2022","vac_MEAN_muni_2022","Rent_m2_EUR_2022","share_larger_HH_2022","share_big_WHG_2022","POP_60_plus_._2022","Tax_pp_2020","change_pc_bs_median","change_pc_flat_size","change_pc_livespace_pp","change_pc_income_tax_pp"
"892000","Gewaltkriminalität",6531,"Gießen","LK",593,219,106,17.9,7,8,511,86.2,634,547,87,297,46.8,2723642,NA,6531,"Gießen",270688,18,258114.3365,12.3843,1345.0936,133.6003,109.5094,65.4225,4.1528,6.4861,0.2913,0.1315,30.3168,7.5683,0.0957,-2.548,25.5322,17.2498
"892000","Gewaltkriminalität",6532,"Lahn-Dill-Kreis","LK",350,138,52,14.9,6,7,308,88,359,305,54,146,40.7,2723642,NA,6532,"Lahn-Dill-Kreis",253319,23,255601.6882,10.3545,1168.7666,130.8045,116.7887,67.3883,4.0561,5.6761,0.3147,0.0638,31.0725,6.8584,-1.9919,1.4316,31.0084,6.6135
"892000","Gewaltkriminalität",6533,"Limburg-Weilburg","LK",296,172,39,13.2,0,2,246,83.1,302,255,47,105,34.8,2723642,NA,6533,"Limburg-Weilburg",171912,19,172625.7505,9.8125,1207.336,142.2956,118.4237,68.7388,4.3132,5.7068,0.3151,0.0623,30.2562,7.3609,-4.2258,2.4196,29.8909,22.0128
"892000","Gewaltkriminalität",6534,"Marburg-Biedenkopf","LK",337,136,81,24,1,1,294,87.2,361,321,40,146,40.4,2723642,NA,6534,"Marburg-Biedenkopf",247084,22,243183.5828,9.2573,1093.4274,135.7592,117.6268,67.5854,3.8914,5.8091,0.3266,0.0724,30.0598,6.3614,-1.6062,0.0953,28.9477,15.5282
"892000","Gewaltkriminalität",6535,"Vogelsbergkreis","LK",165,156,24,14.5,2,3,144,87.3,166,142,24,39,23.5,2723642,NA,6535,"Vogelsbergkreis",105643,19,106329.61,6.1599,1028.1427,196.0456,124.1489,72.0079,5.3479,4.7068,0.2984,0.0318,35.2385,5.6858,-3.3382,3.0295,31.203,19.9146
"892000","Gewaltkriminalität",6611,"Kassel","KfS",867,429,129,14.9,10,4,708,81.7,831,702,129,394,47.4,2723642,NA,6611,"Kassel",202137,1,204576.1034,31.1877,1691.6627,70.6015,80.05,58.1583,4.09,6.77,0.2108,0.4815,26.6112,NA,10.9905,-11.2358,18.4131,NA
"892000","Gewaltkriminalität",6631,"Fulda","LK",309,138,63,20.4,2,2,253,81.9,313,267,46,122,39,2723642,NA,6631,"Fulda",223145,23,219331.2938,7.3929,1083.0644,178.7024,114.5913,64.14,5.8213,5.1604,0.3216,0.0626,30.082,6.6273,-1.6802,2.4397,27.5283,24.1752
"892000","Gewaltkriminalität",6632,"Hersfeld-Rotenburg","LK",193,160,45,23.3,4,2,175,90.7,205,182,23,70,34.1,2723642,NA,6632,"Hersfeld-Rotenburg",120719,20,120225.1064,6.632,1029.0985,181.3048,116.308,68.2215,5.447,4.8065,0.3094,0.0433,33.3037,5.2888,-1.1084,3.2906,30.8867,16.9045
"892000","Gewaltkriminalität",6633,"Kassel","LK",274,116,46,16.8,7,1,254,92.7,311,258,53,79,25.4,2723642,NA,6633,"Kassel",236764,29,236613.6567,10.9179,1230.9939,139.6008,112.4539,67.6992,5.0929,5.3768,0.2777,0.0747,33.689,6.5162,3.9382,4.1388,32.0138,17.0604
"892000","Gewaltkriminalität",6634,"Schwalm-Eder-Kreis","LK",501,279,53,10.6,7,3,470,93.8,233,198,35,62,26.6,2723642,NA,6634,"Schwalm-Eder-Kreis",179673,27,181033.7137,7.436,1046.9288,162.7808,117.5159,68.9933,5.2807,5.0337,0.3076,0.0466,32.7679,6.0585,1.0168,4.1416,31.3858,29.6809
"892000","Gewaltkriminalität",6635,"Waldeck-Frankenberg","LK",212,136,41,19.3,1,1,192,90.6,227,205,22,75,33,2723642,NA,6635,"Waldeck-Frankenberg",156406,22,156903.6051,6.5804,950.0456,172.7432,117.3273,70.0261,5.0505,4.7532,0.3011,0.0549,32.3325,6.1119,0.9873,4.27,30.6243,27.1533
"892000","Gewaltkriminalität",6636,"Werra-Meißner-Kreis","LK",153,152,25,16.3,0,1,142,92.8,164,147,17,63,38.4,2723642,NA,6636,"Werra-Meißner-Kreis",100629,17,100262.4199,7.1587,1079.3461,174.3398,114.0831,69.1372,5.7012,4.4912,0.2851,0.0449,35.4594,5.3472,-1.4913,4.5395,30.1217,23.4247
