"schluessel","straftat","gemeindeschluessel","stadt_landkreis","kreisart","anzahl_erfasste_faelle","haeufigkeitszahl","erfasste_faelle_davon_versuche_anzahl","erfasste_faelle_davon_versuche_anteil_in_percent","mit_schusswaffe_gedroht","mit_schusswaffe_geschossen","auffklaerung_anzahl_faelle","aufklaerungsquote","tatverdaechtige_insgesamt","tatverdaechtige_maennlich","tatverdaechtige_weiblich","nichtdeutsche_tatverdaechtige_anzahl","nichtdeutsche_tatverdaechtige_anteil_in_percent_an_der_gesamtzahl","gemeinden_n","pop_20_sum","pop20_MEAN","bs20_MEAN","lupp20_MEAN","mean_FLAT_size_2022","livespace_MEAN_grid_2022","vac_MEAN_muni_2022","Rent_m2_EUR_2022","share_larger_HH_2022","share_big_WHG_2022","POP_60_plus_._2022","change_pc_bs_mean"
"892000","Gewaltkriminalität",9477,"Kulmbach","LK",89,125,12,"13.5",1,4,82,"92.1",82,69,13,21,"25.6",22,74239.3835,8.2453,916.5802,185.9108,116.6818,67.5269,7.0727,4.83,0.2977,0.0487,34.1495,12.5874
"892000","Gewaltkriminalität",9478,"Lichtenfels","LK",105,157,22,"21",0,0,94,"89.5",101,85,16,32,"31.7",13,68023.4372,9.4685,1010.1182,159.0159,115.5527,60.8053,5.6709,5.1791,0.3109,0.0592,31.9551,16.2292
"892000","Gewaltkriminalität",9479,"Wunsiedel i.Fichtelgebirge","LK",91,127,14,"15.4",0,1,83,"91.2",105,91,14,32,"30.5",26,74815.6937,6.1195,673.031,114.6714,104.6665,57.7114,9.9653,4.2912,0.2583,0.084,35.913,9.385
"892000","Gewaltkriminalität",9561,"Ansbach","KfS",140,336,23,"16.4",0,0,130,"92.9",160,125,35,73,"45.6",1,40770.3774,16.1211,1194.5698,144.7815,91.33,61.7878,5.03,6.68,0.2338,0.2619,29.4437,5.9228
"892000","Gewaltkriminalität",9562,"Erlangen","KfS",222,196,34,"15.3",2,0,181,"81.5",231,202,29,91,"39.4",1,120914.3813,34.2243,1560.3179,73.7217,81.32,55.6306,4.86,9.2,0.2193,0.548,24.7229,2.5312
"892000","Gewaltkriminalität",9563,"Fürth","KfS",217,168,45,"20.7",0,2,194,"89.4",260,222,38,133,"51.2",1,142024.3348,41.7105,1647.4479,66.2088,84.16,57.5578,3.36,7.71,0.2452,0.5685,25.9487,1.2695
"892000","Gewaltkriminalität",9564,"Nürnberg","KfS",1683,330,268,"15.9",5,9,1336,"79.4",1588,1303,285,832,"52.4",1,517452.9036,42.7859,1676.2328,62.7494,77.97,55.4336,3.11,8.21,0.2239,0.6494,26.479,1.8899
"892000","Gewaltkriminalität",9565,"Schwabach","KfS",52,126,7,"13.5",0,0,48,"92.3",64,43,21,35,"54.7",1,41691.6535,25.4528,1474.7613,96.8848,98.06,62.6497,3.09,7.11,0.2751,0.249,29.8495,0.6139
"892000","Gewaltkriminalität",9571,"Ansbach","LK",190,102,42,"22.1",0,1,179,"94.2",211,181,30,75,"35.5",59,180543.6928,8.0421,995.6239,221.0144,125.3728,66.4246,5.0969,5.5159,0.3601,0.0503,28.684,11.4154
"892000","Gewaltkriminalität",9572,"Erlangen-Höchstadt","LK",90,65,18,"20",2,2,86,"95.6",97,81,16,24,"24.7",35,135562.2632,12.0376,1026.6523,113.3471,118.6624,60.6814,4.6468,7.2496,0.3381,0.0817,28.4825,5.2478
"892000","Gewaltkriminalität",9573,"Fürth","LK",73,61,14,"19.2",1,0,64,"87.7",77,61,16,24,"31.2",14,117555.0312,18.0328,1406.6945,145.4932,112.3757,63.462,4.1607,6.8793,0.307,0.1315,30.8847,4.7925
"892000","Gewaltkriminalität",9574,"Nürnberger Land","LK",160,93,28,"17.5",2,0,148,"92.5",165,144,21,56,"33.9",41,167869.8608,9.5963,900.0478,119.3422,115.4637,64.4465,5.6444,6.24,0.3132,0.1006,30.6192,8.3264
"892000","Gewaltkriminalität",9575,"Neustadt a.d.Aisch-Bad Windsheim","LK",111,109,30,"27",1,0,102,"91.9",126,100,26,54,"42.9",39,99000.842,7.6961,969.6461,248.6582,128.6587,68.316,5.8582,5.1953,0.3572,0.0329,29.7105,7.7016
"892000","Gewaltkriminalität",9576,"Roth","LK",107,84,24,"22.4",0,2,95,"88.8",124,93,31,31,"25",21,126350.8281,9.3961,897.6098,149.0332,119.63,67.4999,4.4212,6.3162,0.3457,0.0717,29.3769,11.2845
"892000","Gewaltkriminalität",9577,"Weißenburg-Gunzenhausen","LK",120,126,26,"21.7",0,2,113,"94.2",118,95,23,36,"30.5",27,93393.6592,8.0915,965.24,228.4649,127.1611,68.659,6.3181,5.1881,0.3677,0.0494,29.7557,4.9879
"892000","Gewaltkriminalität",9661,"Aschaffenburg","KfS",178,249,21,"11.8",0,1,141,"79.2",174,161,13,78,"44.8",1,69808.0003,28.435,1686.3477,102.4646,86.7,60.6367,4.43,7.75,0.2373,0.3952,28.5527,0.6417
"892000","Gewaltkriminalität",9662,"Schweinfurt","KfS",144,269,24,"16.7",1,1,118,"81.9",134,114,20,59,"44",1,53443.602,27.2811,1602.3054,95.5316,82.49,54.1765,5.33,6.23,0.2188,0.4631,31.4526,2.1199
"892000","Gewaltkriminalität",9663,"Würzburg","KfS",369,291,61,"16.5",1,1,294,"79.7",367,296,71,134,"36.5",1,127223.2944,29.4908,1526.8032,92.8358,78.47,57.4006,3.11,8.65,0.1924,0.6126,26.539,2.7492
"892000","Gewaltkriminalität",9671,"Aschaffenburg","LK",101,58,19,"18.8",1,1,92,"91.1",120,101,19,45,"37.5",40,177957.7988,13.5785,1110.2066,117.4287,113.9072,66.3569,6.3975,6.2231,0.3193,0.047,30.4366,3.2314
"892000","Gewaltkriminalität",9672,"Bad Kissingen","LK",106,102,20,"18.9",1,3,96,"90.6",107,82,25,35,"32.7",39,104809.7735,6.8868,733.8241,128.3498,117.8131,56.627,7.0115,4.5654,0.3237,0.0367,32.6596,Inf
"892000","Gewaltkriminalität",9673,"Rhön-Grabfeld","LK",65,82,12,"18.5",1,0,62,"95.4",76,61,15,19,"25",45,78601.2002,8.2482,917.1003,173.6162,122.1092,64.1159,6.7327,4.5041,0.3396,0.0346,31.4936,5.203
"892000","Gewaltkriminalität",9674,"Haßberge","LK",95,113,21,"22.1",0,0,88,"92.6",99,87,12,23,"23.2",26,85559.1971,10.0083,1091.684,206.9401,124.2473,66.2988,5.82,4.8115,0.3557,0.0374,31.0722,4.1166
"892000","Gewaltkriminalität",9675,"Kitzingen","LK",105,114,28,"26.7",1,2,97,"92.4",119,101,18,51,"42.9",31,89723.0911,11.0858,1137.8932,221.2452,119.6813,65.5197,5.8861,5.3265,0.3339,0.0379,29.4926,2.9079
"892000","Gewaltkriminalität",9676,"Miltenberg","LK",106,82,16,"15.1",0,0,106,"100",128,99,29,49,"38.3",34,131570.1156,14.3699,1212.9409,147.4142,112.43,62.3721,6.3,5.7647,0.3218,0.0505,30.6214,3.9169
"892000","Gewaltkriminalität",9677,"Main-Spessart","LK",124,98,25,"20.2",1,0,115,"92.7",133,110,23,55,"41.4",50,129432.3997,9.5091,898.5544,146.738,117.924,61.5326,7.0175,4.9528,0.3166,0.0268,32.5299,5.0801
"892000","Gewaltkriminalität",9678,"Schweinfurt","LK",137,118,31,"22.6",0,0,127,"92.7",143,127,16,83,"58",36,115497.4474,10.9889,1024.6138,154.4597,118.6814,57.9054,5.381,5.2748,0.3347,0.0529,30.636,10.0504
"892000","Gewaltkriminalität",9679,"Würzburg","LK",127,78,25,"19.7",0,1,115,"90.6",136,114,22,50,"36.8",55,162944.3703,14.7759,1230.5532,178.8588,117.4302,63.9366,5.57,6.0419,0.3296,0.0539,30.5621,1.3323
"892000","Gewaltkriminalität",9761,"Augsburg","KfS",863,291,186,"21.6",1,4,691,"80.1",828,694,134,374,"45.2",1,284747.6906,41.7825,1634.0067,63.0414,76.4,54.8328,3.92,8.48,0.2246,0.6524,25.6045,1.7703
"892000","Gewaltkriminalität",9762,"Kaufbeuren","KfS",109,242,26,"23.9",0,0,99,"90.8",115,98,17,44,"38.3",1,42694.3077,25.891,1392.7936,95.7209,86.21,58.8203,3.8,6.85,0.2493,0.3926,30.0978,1.6172
"892000","Gewaltkriminalität",9763,"Kempten (Allgäu)","KfS",141,204,24,"17",2,0,116,"82.3",125,106,19,49,"39.2",1,67993.0986,27.707,1279.653,89.2466,83.17,59.6274,2.91,7.18,0.2187,0.5111,29.0761,4.3104
"892000","Gewaltkriminalität",9764,"Memmingen","KfS",108,241,15,"13.9",0,0,90,"83.3",115,102,13,42,"36.5",1,42905.3989,21.5065,1374.7576,113.1339,90.01,62.4453,3.99,6.51,0.263,0.38,29.0462,2.6594
"892000","Gewaltkriminalität",9771,"Aichach-Friedberg","LK",86,63,18,"20.9",1,1,66,"76.7",91,72,19,44,"48.4",24,131348.4172,10.5152,1091.0809,183.2868,126.3438,65.4207,4.42,6.9967,0.3916,0.0668,26.6139,8.9332
"892000","Gewaltkriminalität",9772,"Augsburg","LK",275,107,61,"22.2",2,5,238,"86.5",277,214,63,97,"35",47,245554.6561,11.8463,1094.2035,160.6641,120.7352,64.264,4.2996,6.8165,0.3642,0.0929,27.1586,7.4952
"892000","Gewaltkriminalität",9773,"Dillingen a.d.Donau","LK",124,127,24,"19.4",1,0,103,"83.1",118,93,25,44,"37.3",27,95387.3946,9.0902,1077.0572,211.9226,124.3652,65.1411,4.6222,5.7133,0.3812,0.0391,29.0785,9.0649
"892000","Gewaltkriminalität",9774,"Günzburg","LK",163,127,25,"15.3",1,0,138,"84.7",181,155,26,75,"41.4",36,123041.0975,8.8234,959.2553,179.8572,122.7097,62.1917,5.3433,5.9768,0.3793,0.0585,27.3218,7.6287
"892000","Gewaltkriminalität",9775,"Neu-Ulm","LK",275,155,56,"20.4",1,3,232,"84.4",265,228,37,123,"46.4",21,171469.6705,11.8444,1015.3239,126.0745,112.8106,59.0586,4.0453,6.8047,0.3405,0.1216,27.5243,7.9421
"892000","Gewaltkriminalität",9776,"Lindau (Bodensee)","LK",106,129,20,"18.9",0,0,99,"93.4",116,95,21,44,"37.9",19,82258.3489,11.3093,805.594,131.1631,106.5042,64.191,4.4463,7.4374,0.2994,0.148,29.2464,11.392
"892000","Gewaltkriminalität",9777,"Ostallgäu","LK",131,91,28,"21.4",0,0,115,"87.8",141,114,27,58,"41.1",45,136733.3539,8.0836,841.1014,212.4755,120.2689,66.4536,4.9707,6.4284,0.3456,0.0561,27.9866,3.8215
"892000","Gewaltkriminalität",9778,"Unterallgäu","LK",135,91,34,"25.2",0,1,118,"87.4",127,93,34,62,"48.8",53,138909.3012,8.3223,908.5527,199.8749,125.6448,68.0878,5.3738,6.026,0.3663,0.0517,27.3113,4.1848
"892000","Gewaltkriminalität",9779,"Donau-Ries","LK",145,107,28,"19.3",0,0,135,"93.1",163,148,15,61,"37.4",46,122107.2487,8.0821,991.4055,203.7139,129.6639,67.0038,5.7795,5.3861,0.3873,0.0337,28.3448,6.9774
"892000","Gewaltkriminalität",9780,"Oberallgäu","LK",142,90,28,"19.7",0,1,135,"95.1",156,126,30,58,"37.2",29,152056.0662,8.5504,700.3613,159.0512,99.9968,61.0121,4.5607,7.0268,0.2809,0.2041,30.2355,2.3533
"892000","Gewaltkriminalität",10041,"Regionalverband Saarbrücken","RV",1207,369,173,"14.3",22,10,965,"80",1162,965,197,479,"41.2",10,337467.7361,20.2281,1510.2912,124.553,105.16,65.2868,5.948,5.649,0.2549,0.1059,34.3752,3.7111
"892000","Gewaltkriminalität",10042,"Merzig-Wadern","LK",146,141,28,"19.2",0,0,133,"91.1",148,118,30,34,"23",7,101943.9451,12.1141,1228.7214,174.0136,124.1157,71.5429,4.5757,6.0814,0.3115,0.0638,31.8485,9.3241
"892000","Gewaltkriminalität",10043,"Neunkirchen","LK",297,227,41,"13.8",7,2,236,"79.5",292,254,38,101,"34.6",7,130597.9999,18.2611,1506.5247,132.4395,108.98,67.0172,5.9671,5.4943,0.2655,0.0759,34.4848,5.9028
"892000","Gewaltkriminalität",10044,"Saarlouis","LK",455,235,75,"16.5",3,2,376,"82.6",454,380,74,152,"33.5",13,191659.2185,16.1367,1428.829,151.409,116.6615,69.8291,4.6638,5.7831,0.2993,0.0718,33.4821,4.0872
"892000","Gewaltkriminalität",10045,"Saarpfalz-Kreis","LK",263,187,30,"11.4",3,3,233,"88.6",278,234,44,88,"31.7",7,140572.5215,14.7867,1373.6388,150.0493,115.92,69.8202,5.1914,5.8743,0.2772,0.0805,35.1881,3.0835
"892000","Gewaltkriminalität",10046,"St. Wendel","LK",130,151,15,"11.5",0,2,111,"85.4",130,108,22,20,"15.4",8,87164.5552,11.8712,1167.6317,158.4889,123.4162,71.8276,5.18,5.2238,0.2985,0.0351,35.228,12.5086
"892000","Gewaltkriminalität",11000,"Berlin","KfS",17947,488,3530,"19.7",176,93,11159,"62.2",12221,10238,1983,5588,"45.7",1,3595815.4912,59.2538,1863.8972,43.8414,73.22,53.4686,1.97,7.67,0.1986,0.8146,25.4896,4.144
"892000","Gewaltkriminalität",12051,"Brandenburg an der Havel","KfS",224,309,38,"17",0,8,183,"81.7",214,170,44,64,"29.9",1,70195.4296,14.8782,1271.0113,164.2261,73.14,54.8317,8.64,5.88,0.181,0.559,35.9881,3.8992
"892000","Gewaltkriminalität",12052,"Cottbus","KfS",334,340,70,"21",1,4,267,"79.9",307,270,37,90,"29.3",1,103646.3263,20.2513,1315.2,116.0346,75.1,56.7052,6.42,5.58,0.1648,0.6629,35.2682,5.8745
